Data,Hora,Data Valor,Produto,ISIN,Descrição,T.,Mudança,,Saldo,,ID da Ordem
02-10-2020,09:00,02-10-2020,B.COM.PORTUGUES,PTBCP0AM0015,Comissão de transação,,EUR,"-0,50",EUR,"60,61",84a469a5-7e30-4699-958b-1d9d1c9d12bc
02-10-2020,09:00,02-10-2020,B.COM.PORTUGUES,PTBCP0AM0015,"Venda 7 B.COM.PORTUGUES@0,0791 EUR (PTBCP0AM0015)",,EUR,"0,55",EUR,"61,11",84a469a5-7e30-4699-958b-1d9d1c9d12bc
01-10-2020,06:30,30-09-2020,,,Flatex Interest,,EUR,"-0,02",EUR,"60,55",
10-09-2020,12:45,10-09-2020,,,"Depósitos na sua Conta Caixa na flatex Bank: 60,57 EUR",,,,EUR,"60,57",
09-09-2020,12:03,08-09-2020,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,"Conversão do Fundo do Mercado Monetário: Vende 61,5626 @ 0,9839 EUR",,,,EUR,"60,57",
08-09-2020,00:00,07-09-2020,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,Alteração do preço do Fundo do Mercado Monetário (EUR),,EUR,"-0,01",EUR,"60,57",
03-09-2020,00:00,02-09-2020,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,Alteração do preço do Fundo do Mercado Monetário (EUR),,EUR,"-0,01",EUR,"60,58",
27-08-2020,00:00,26-08-2020,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,Alteração do preço do Fundo do Mercado Monetário (EUR),,EUR,"-0,01",EUR,"60,58",
21-08-2020,00:00,20-08-2020,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,Alteração do preço do Fundo do Mercado Monetário (EUR),,EUR,"-0,01",EUR,"60,59",
14-08-2020,00:00,13-08-2020,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,Alteração do preço do Fundo do Mercado Monetário (EUR),,EUR,"-0,01",EUR,"60,60",
06-08-2020,00:00,05-08-2020,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,Alteração do preço do Fundo do Mercado Monetário (EUR),,EUR,"-0,01",EUR,"60,60",
05-08-2020,00:00,04-08-2020,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,Alteração do preço do Fundo do Mercado Monetário (EUR),,EUR,"-0,01",EUR,"60,61",
04-08-2020,14:15,03-08-2020,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,"Conversão do Fundo do Mercado Monetário: Vende 821,3488 @ 0,9846 EUR",,,,EUR,"60,61",
03-08-2020,13:42,03-08-2020,"J.MARTINS,SGPS",PTJMT0AE0001,Comissão de transação,,EUR,"-0,50",EUR,"60,61",a511fa9c-5287-4a33-a4ac-6fed3a627337
03-08-2020,13:42,03-08-2020,"J.MARTINS,SGPS",PTJMT0AE0001,Comissão de transação,,EUR,"-0,40",EUR,"61,11",a511fa9c-5287-4a33-a4ac-6fed3a627337
03-08-2020,13:42,03-08-2020,"J.MARTINS,SGPS",PTJMT0AE0001,"Compra 56 J.MARTINS,SGPS@14,425 EUR (PTJMT0AE0001)",,EUR,"-807,80",EUR,"61,51",a511fa9c-5287-4a33-a4ac-6fed3a627337
31-07-2020,12:03,30-07-2020,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,"Conversão do Fundo do Mercado Monetário: Vende 101,4066 @ 0,9846 EUR",,,,EUR,"869,31",
30-07-2020,17:37,30-07-2020,"J.MARTINS,SGPS",PTJMT0AE0001,Comissão de transação,,EUR,"-0,50",EUR,"869,31",2faf707b-81d5-43aa-b944-befab684c068
30-07-2020,17:37,30-07-2020,"J.MARTINS,SGPS",PTJMT0AE0001,Comissão de transação,,EUR,"-0,05",EUR,"869,81",2faf707b-81d5-43aa-b944-befab684c068
30-07-2020,17:37,30-07-2020,"J.MARTINS,SGPS",PTJMT0AE0001,"Compra 7 J.MARTINS,SGPS@14,185 EUR (PTJMT0AE0001)",,EUR,"-99,30",EUR,"869,86",2faf707b-81d5-43aa-b944-befab684c068
29-07-2020,00:00,28-07-2020,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,Alteração do preço do Fundo do Mercado Monetário (EUR),,EUR,"-0,10",EUR,"969,16",
28-07-2020,12:03,27-07-2020,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,"Conversão do Fundo do Mercado Monetário: Compra 913,984 @ 0,9847 EUR",,,,EUR,"969,26",
27-07-2020,11:03,27-07-2020,,,Depósito,,EUR,"900,00",EUR,"969,26",
22-07-2020,00:00,21-07-2020,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,Alteração do preço do Fundo do Mercado Monetário (EUR),,EUR,"-0,01",EUR,"69,26",
17-07-2020,12:03,16-07-2020,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,"Conversão do Fundo do Mercado Monetário: Compra 3,5537 @ 0,9849 EUR",,,,EUR,"69,26",
17-07-2020,00:00,16-07-2020,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,Alteração do preço do Fundo do Mercado Monetário (EUR),,EUR,"-0,01",EUR,"69,27",
16-07-2020,12:03,15-07-2020,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,"Conversão do Fundo do Mercado Monetário: Compra 0,7919 @ 0,9849 EUR",,,,EUR,"69,27",
16-07-2020,08:30,15-07-2020,"J.MARTINS,SGPS",PTJMT0AE0001,Dividendo,,EUR,"5,38",EUR,"69,27",
16-07-2020,08:30,15-07-2020,"J.MARTINS,SGPS",PTJMT0AE0001,Imposto sobre dividendo,,EUR,"-1,88",EUR,"63,89",
15-07-2020,07:25,14-07-2020,VIDRALA,ES0183746314,Dividendo,,EUR,"0,96",EUR,"65,77",
15-07-2020,07:25,14-07-2020,VIDRALA,ES0183746314,Imposto sobre dividendo,,EUR,"-0,18",EUR,"64,81",
15-07-2020,00:00,14-07-2020,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,Alteração do preço do Fundo do Mercado Monetário (EUR),,EUR,"-0,01",EUR,"64,99",
08-07-2020,00:00,07-07-2020,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,Alteração do preço do Fundo do Mercado Monetário (EUR),,EUR,"-0,01",EUR,"65,00",
06-07-2020,12:03,03-07-2020,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,"Conversão do Fundo do Mercado Monetário: Compra 0,0143 @ 0,9851 EUR",,,,EUR,"65,01",
03-07-2020,12:04,02-07-2020,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,"Conversão do Fundo do Mercado Monetário: Vende 157,973 @ 0,9851 EUR",,,,EUR,"65,01",
03-07-2020,10:34,01-07-2020,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,"Conversão do Fundo do Mercado Monetário: Vende 0,0304 @ 0,9852 EUR",,,,EUR,"65,01",
02-07-2020,11:41,02-07-2020,GALP ENERGIA-NOM,PTGAL0AM0009,Comissão de transação,,EUR,"-0,50",EUR,"65,01",a8d1e5d9-e5aa-4b20-ba9c-89001c964876
02-07-2020,11:41,02-07-2020,GALP ENERGIA-NOM,PTGAL0AM0009,Comissão de transação,,EUR,"-0,08",EUR,"65,51",a8d1e5d9-e5aa-4b20-ba9c-89001c964876
02-07-2020,11:41,02-07-2020,GALP ENERGIA-NOM,PTGAL0AM0009,"Compra 15 GALP ENERGIA-NOM@10,335 EUR (PTGAL0AM0009)",,EUR,"-155,02",EUR,"65,59",a8d1e5d9-e5aa-4b20-ba9c-89001c964876
02-07-2020,00:00,01-07-2020,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,Alteração do preço do Fundo do Mercado Monetário (EUR),,EUR,"-0,02",EUR,"220,61",
01-07-2020,15:02,30-06-2020,,,Juros de posição curta,,EUR,"-0,03",EUR,"220,63",
