Data,Hora,Produto,ISIN,Bolsa,Quantidade,,Preços,,Valor local,,Valor,Taxa de Câmbio,,Taxa,,Total,ID da Ordem
02-10-2020,09:00,B.COM.PORTUGUES,PTBCP0AM0015,ELI,-7,EUR,0.0791,EUR,0.55,EUR,0.55,,EUR,-0.50,EUR,0.05,84a469a5-7e30-4699-958b-1d9d1c9d12bc
03-08-2020,13:42,"J.MARTINS,SGPS",PTJMT0AE0001,ELI,56,EUR,14.4250,EUR,-807.80,EUR,-807.80,,EUR,-0.90,EUR,-808.70,a511fa9c-5287-4a33-a4ac-6fed3a627337
30-07-2020,17:37,"J.MARTINS,SGPS",PTJMT0AE0001,ELI,7,EUR,14.1850,EUR,-99.30,EUR,-99.30,,EUR,-0.55,EUR,-99.85,2faf707b-81d5-43aa-b944-befab684c068
02-07-2020,11:41,GALP ENERGIA-NOM,PTGAL0AM0009,ELI,15,EUR,10.3350,EUR,-155.03,EUR,-155.03,,EUR,-0.58,EUR,-155.61,a8d1e5d9-e5aa-4b20-ba9c-89001c964876
24-06-2020,17:26,GALP ENERGIA-NOM,PTGAL0AM0009,ELI,-15,EUR,10.6150,EUR,159.23,EUR,159.23,,EUR,-0.58,EUR,158.65,2904fa35-5aa9-4a05-81d5-82a9d2e35eda
24-06-2020,17:07,"J.MARTINS,SGPS",PTJMT0AE0001,ELI,26,EUR,15.8400,EUR,-411.84,EUR,-411.84,,EUR,-0.71,EUR,-412.55,e6663c6b-c8fa-4a91-93ba-210acf773d41
13-05-2020,11:28,GALP ENERGIA-NOM,PTGAL0AM0009,ELI,30,EUR,9.6900,EUR,-290.70,EUR,-290.70,,EUR,-0.65,EUR,-291.35,02247a38-ed74-4b77-be28-cf78c3e12d7c
11-05-2020,11:59,GALP ENERGIA-NOM,PTGAL0AM0009,ELI,-30,EUR,10.0700,EUR,302.10,EUR,302.10,,EUR,-0.65,EUR,301.45,00f71796-f7da-4717-af9f-3f3e0983a58d
23-04-2020,09:35,GALP ENERGIA-NOM,PTGAL0AM0009,ELI,15,EUR,9.6000,EUR,-144.00,EUR,-144.00,,EUR,-0.57,EUR,-144.57,ecd2baed-4677-4e44-be23-0d575765cd9d
22-04-2020,13:59,GALP ENERGIA-NOM,PTGAL0AM0009,ELI,-10,EUR,9.2340,EUR,92.34,EUR,92.34,,EUR,-0.55,EUR,91.79,6e3c138f-008c-4801-90a9-77ef34375c29
