ticker,company,sector
ALTR.LS,Altri,Industrial Goods & Services
BCP.LS,Banco Comercial Português,Banks
COR.LS,Corticeira Amorim,Food & Beverage
CTT.LS,CTT Correios de Portugal,Industrial Goods & Services
EDPR.LS,EDP Renováveis,Utilities
EDP.LS,Energias de Portugal,Utilities
GALP.LS,Galp Energia,Oil & Gas
IBS.LS,Ibersol,Travel & Leisure
JMT.LS,Jerónimo Martins,Retail
EGL.LS,Mota-Engil,Construction & Materials
NOS.LS,NOS,Media
NBA.LS,Novabase,Technology
PHR.LS,Pharol,Telecommunications
RENE.LS,Redes Energéticas Nacionais,Utilities
SEM.LS,Semapa,Basic Resources
SON.LS,Sonae,Retail
SONC.LS,Sonae Capital,Financial Services
NVG.LS,The Navigator Company,Basic Resources
