industry,Ret,Std,IS
Systems Software,64.16666666666667,41.85,1.54
Diversified Support Services,53.394999999999996,36.54,1.465
Hypermarkets & Super Centers,35.69,26.855,1.33
Environmental & Facilities Services,34.059999999999995,26.853333333333335,1.25
Application Software,48.67583333333332,38.826666666666675,1.2416666666666667
Technology Distributors,46.96,38.6,1.22
Agricultural & Farm Machinery,45.31,38.09,1.19
Trucking,42.005,34.96,1.185
Life Sciences Tools & Services,41.234,36.392,1.16
Industrial Gases,35.41,30.770000000000003,1.15
Water Utilities,34.68,30.37,1.14
Home Improvement Retail,40.1,36.019999999999996,1.12
Computer & Electronics Retail,53.41,47.49,1.12
Consumer Electronics,35.37,31.69,1.12
Semiconductor Equipment,54.39,49.472500000000004,1.1025
Financial Exchanges & Data,38.19625,34.32875,1.09375
Wireless Telecommunication Services,37.64,34.43,1.09
Personal Products,32.86,30.13,1.075
Metal & Glass Containers,33.62,31.52,1.07
Railroads,38.2675,37.5175,1.02
Electronic Equipment & Instruments,43.69333333333333,42.586666666666666,1.0166666666666666
General Merchandise Stores,35.223333333333336,36.946666666666665,1.0033333333333334
Insurance Brokers,28.764999999999997,28.83,0.9999999999999999
Data Processing & Outsourced Services,34.42818181818182,34.485454545454544,0.9918181818181818
Health Care Equipment,35.8395,36.49699999999999,0.986
Semiconductors,48.73461538461539,48.01,0.9707692307692307
Internet Services & Infrastructure,33.29333333333333,35.32,0.9500000000000001
Restaurants,35.955000000000005,38.85166666666667,0.935
Homebuilding,42.7275,45.88499999999999,0.935
Electrical Components & Equipment,38.06,41.555,0.9125000000000001
Industrial REITs,30.435,33.465,0.91
Health Care Supplies,36.88,40.62,0.905
Independent Power Producers & Energy Traders,39.019999999999996,43.265,0.9
Trading Companies & Distributors,49.93,55.61,0.9
Managed Health Care,35.763999999999996,40.182,0.8940000000000001
Movies & Entertainment,40.47333333333333,43.61333333333334,0.8933333333333332
Construction & Engineering,32.83,37.165,0.885
Internet & Direct Marketing Retail,40.464000000000006,44.826,0.8560000000000001
Interactive Home Entertainment,36.156666666666666,42.093333333333334,0.8466666666666667
Interactive Media & Services,35.205,41.2975,0.8425
Air Freight & Logistics,26.405,33.2225,0.8125
Electronic Manufacturing Services,35.345,44.6,0.795
Specialized REITs,25.717777777777776,33.90888888888888,0.778888888888889
Electronic Components,26.505000000000003,35.29,0.765
Household Products,20.82,27.3975,0.7500000000000001
Gold,29.51,39.29,0.75
Building Products,26.23428571428571,35.275714285714294,0.74
